"filename", "language", "YAML", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\gogo7\Desktop\tty\project\app.js", "JavaScript", 0, 0, 198, 0, 0, 38, 72, 308
"c:\Users\gogo7\Desktop\tty\project\app.yaml", "YAML", 8, 0, 0, 0, 0, 3, 4, 15
"c:\Users\gogo7\Desktop\tty\project\core-const\ExchangeRouterAddress.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\gogo7\Desktop\tty\project\core-const\token.js", "JavaScript", 0, 0, 633, 0, 0, 0, 0, 633
"c:\Users\gogo7\Desktop\tty\project\package-lock.json", "JSON", 0, 0, 0, 0, 1628, 0, 1, 1629
"c:\Users\gogo7\Desktop\tty\project\package.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 22
"c:\Users\gogo7\Desktop\tty\project\public\game.js", "JavaScript", 0, 0, 122, 0, 0, 3, 31, 156
"c:\Users\gogo7\Desktop\tty\project\public\main.css", "CSS", 0, 0, 0, 213, 0, 5, 60, 278
"c:\Users\gogo7\Desktop\tty\project\public\token.js", "JavaScript", 0, 0, 633, 0, 0, 0, 0, 633
"c:\Users\gogo7\Desktop\tty\project\views\chat.ejs", "HTML", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\gogo7\Desktop\tty\project\views\client.ejs", "HTML", 0, 37, 0, 0, 0, 4, 15, 56
"c:\Users\gogo7\Desktop\tty\project\views\compare.ejs", "HTML", 0, 22, 0, 0, 0, 2, 9, 33
"c:\Users\gogo7\Desktop\tty\project\views\favourites.ejs", "HTML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\gogo7\Desktop\tty\project\views\footer.ejs", "HTML", 0, 5, 0, 0, 0, 4, 6, 15
"c:\Users\gogo7\Desktop\tty\project\views\header.ejs", "HTML", 0, 13, 0, 0, 0, 3, 9, 25
"c:\Users\gogo7\Desktop\tty\project\views\loading.ejs", "HTML", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\gogo7\Desktop\tty\project\views\login.ejs", "HTML", 0, 10, 0, 0, 0, 5, 6, 21
"c:\Users\gogo7\Desktop\tty\project\views\navbar.ejs", "HTML", 0, 7, 0, 0, 0, 0, 8, 15
"c:\Users\gogo7\Desktop\tty\project\views\play.ejs", "HTML", 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\gogo7\Desktop\tty\project\views\register.ejs", "HTML", 0, 13, 0, 0, 0, 9, 7, 29
"Total", "-", 8, 151, 1593, 213, 1650, 76, 240, 3931